日期,CCTD秦皇岛5500大卡（元/吨）,CCTD综合结算5500大卡（元/吨）,CCTD综合结算5000大卡（元/吨）,CCTD综合结算4500大卡（元/吨）,广州港进口煤5500大卡（元/吨）,广州港进口煤5000大卡（元/吨）,广州港进口煤4500大卡（元/吨）,数据来源
2026-02-12,708.19,705.26,566.57,541.41,834.36,833.33,622.34,示例数据（需从官方渠道获取实际数据）
2026-02-13,743.24,736.35,657.79,592.27,912.68,754.03,624.89,示例数据（需从官方渠道获取实际数据）
2026-02-14,700.52,609.54,657.96,601.69,887.88,832.25,712.62,示例数据（需从官方渠道获取实际数据）
2026-02-15,769.89,729.71,674.73,589.54,897.03,818.52,742.56,示例数据（需从官方渠道获取实际数据）
2026-02-16,848.94,639.84,567.42,646.6,853.74,818.88,749.02,示例数据（需从官方渠道获取实际数据）
2026-02-17,781.16,699.88,657.82,607.14,882.39,821.1,729.22,示例数据（需从官方渠道获取实际数据）
2026-02-18,783.99,650.76,631.99,618.53,933.37,713.79,614.52,示例数据（需从官方渠道获取实际数据）
2026-02-19,786.41,719.97,673.83,549.24,856.99,732.23,675.16,示例数据（需从官方渠道获取实际数据）
2026-02-20,811.61,670.23,650.91,513.86,917.52,774.55,634.3,示例数据（需从官方渠道获取实际数据）
2026-02-21,844.83,700.1,589.67,568.19,887.21,824.45,731.9,示例数据（需从官方渠道获取实际数据）
2026-02-22,776.27,716.67,635.44,508.75,835.42,839.2,689.75,示例数据（需从官方渠道获取实际数据）
2026-02-23,734.62,618.74,617.74,513.81,934.2,711.51,749.87,示例数据（需从官方渠道获取实际数据）
2026-02-24,829.42,723.05,643.21,528.45,849.98,809.8,677.84,示例数据（需从官方渠道获取实际数据）
2026-02-25,750.91,608.72,551.58,615.87,874.19,818.13,642.77,示例数据（需从官方渠道获取实际数据）
2026-02-26,752.39,622.33,681.31,529.64,839.25,750.96,635.35,示例数据（需从官方渠道获取实际数据）
2026-02-27,796.61,727.26,694.68,619.5,945.47,711.28,630.12,示例数据（需从官方渠道获取实际数据）
2026-02-28,757.16,670.01,652.89,513.26,867.97,727.97,654.79,示例数据（需从官方渠道获取实际数据）
2026-03-01,780.96,710.18,672.07,641.66,938.9,849.85,615.71,示例数据（需从官方渠道获取实际数据）
2026-03-02,818.37,689.98,583.47,581.22,864.19,751.98,693.67,示例数据（需从官方渠道获取实际数据）
2026-03-03,839.05,701.1,680.66,627.52,879.73,730.12,638.31,示例数据（需从官方渠道获取实际数据）
2026-03-04,702.16,695.88,588.7,617.32,830.31,800.39,702.28,示例数据（需从官方渠道获取实际数据）
2026-03-05,763.61,608.26,690.7,515.38,916.5,790.04,608.74,示例数据（需从官方渠道获取实际数据）
2026-03-06,706.19,710.54,691.64,549.58,888.23,825.85,702.82,示例数据（需从官方渠道获取实际数据）
2026-03-07,808.19,721.49,554.13,577.05,827.64,848.72,711.19,示例数据（需从官方渠道获取实际数据）
2026-03-08,804.21,702.43,594.04,557.13,908.94,760.66,730.55,示例数据（需从官方渠道获取实际数据）
2026-03-09,808.94,684.4,599.76,600.81,855.78,843.97,690.01,示例数据（需从官方渠道获取实际数据）
2026-03-10,722.06,621.42,654.24,596.42,921.69,767.37,654.67,示例数据（需从官方渠道获取实际数据）
2026-03-11,809.26,628.97,690.49,550.7,841.91,701.68,726.54,示例数据（需从官方渠道获取实际数据）
2026-03-12,840.98,630.0,677.46,529.49,840.61,729.13,731.34,示例数据（需从官方渠道获取实际数据）
2026-03-13,780.4,670.11,619.26,610.76,846.05,731.09,668.74,示例数据（需从官方渠道获取实际数据）
2026-03-14,813.51,740.48,663.16,538.1,874.99,789.22,731.93,示例数据（需从官方渠道获取实际数据）
2026-03-15,812.84,741.98,676.1,573.46,916.27,848.51,673.93,示例数据（需从官方渠道获取实际数据）
2026-03-16,834.3,635.48,618.21,502.29,897.39,722.24,695.05,示例数据（需从官方渠道获取实际数据）
2026-03-17,793.27,608.85,678.62,639.31,843.84,725.19,713.34,示例数据（需从官方渠道获取实际数据）
2026-03-18,770.73,610.11,637.2,521.28,936.17,803.26,716.98,示例数据（需从官方渠道获取实际数据）
2026-03-19,833.16,683.1,620.77,610.96,820.84,753.34,701.62,示例数据（需从官方渠道获取实际数据）
2026-03-20,748.12,719.13,673.79,622.73,820.83,723.67,726.62,示例数据（需从官方渠道获取实际数据）
2026-03-21,706.6,747.77,559.78,509.93,898.17,822.2,665.21,示例数据（需从官方渠道获取实际数据）
2026-03-22,724.65,604.83,664.28,587.38,846.52,703.8,734.96,示例数据（需从官方渠道获取实际数据）
2026-03-23,706.34,744.13,561.38,568.34,842.27,791.67,748.63,示例数据（需从官方渠道获取实际数据）
2026-03-24,802.37,719.44,699.88,645.2,939.4,799.22,738.25,示例数据（需从官方渠道获取实际数据）
2026-03-25,775.52,611.74,612.31,522.63,813.25,794.35,622.41,示例数据（需从官方渠道获取实际数据）
2026-03-26,790.66,680.01,638.49,554.09,865.28,842.09,643.23,示例数据（需从官方渠道获取实际数据）
2026-03-27,799.14,637.74,669.84,502.54,876.58,702.14,724.47,示例数据（需从官方渠道获取实际数据）
2026-03-28,707.09,732.61,613.78,504.53,853.0,842.29,669.43,示例数据（需从官方渠道获取实际数据）
2026-03-29,767.32,715.44,629.04,554.94,882.38,837.33,727.06,示例数据（需从官方渠道获取实际数据）
2026-03-30,817.52,701.05,628.0,616.07,834.81,792.72,630.18,示例数据（需从官方渠道获取实际数据）
2026-03-31,708.27,705.86,654.85,628.87,921.07,840.29,601.68,示例数据（需从官方渠道获取实际数据）
2026-04-01,754.12,699.46,633.14,540.49,831.68,720.39,700.89,示例数据（需从官方渠道获取实际数据）
2026-04-02,786.12,689.66,697.9,577.45,879.73,741.13,626.12,示例数据（需从官方渠道获取实际数据）
2026-04-03,839.15,627.5,639.48,561.88,912.68,808.18,659.86,示例数据（需从官方渠道获取实际数据）
2026-04-04,709.03,637.53,693.74,620.51,930.93,822.34,648.95,示例数据（需从官方渠道获取实际数据）
2026-04-05,768.2,640.27,649.26,535.32,828.35,810.33,627.52,示例数据（需从官方渠道获取实际数据）
2026-04-06,702.04,694.42,601.92,508.51,828.89,719.46,734.09,示例数据（需从官方渠道获取实际数据）
2026-04-07,791.06,654.33,694.23,574.37,922.47,757.46,638.92,示例数据（需从官方渠道获取实际数据）
2026-04-08,711.56,627.19,612.94,503.72,888.41,833.53,630.95,示例数据（需从官方渠道获取实际数据）
2026-04-09,838.97,622.57,552.02,509.59,868.48,776.24,643.66,示例数据（需从官方渠道获取实际数据）
2026-04-10,822.04,731.77,651.94,611.28,942.13,787.35,729.1,示例数据（需从官方渠道获取实际数据）
2026-04-11,822.21,670.05,680.64,521.43,858.93,807.78,667.83,示例数据（需从官方渠道获取实际数据）
2026-04-12,786.5,631.4,664.44,515.81,942.31,843.77,697.73,示例数据（需从官方渠道获取实际数据）
2026-04-13,848.21,666.52,580.01,531.34,808.24,720.48,681.19,示例数据（需从官方渠道获取实际数据）
2026-04-14,755.78,725.38,673.38,536.8,863.94,779.88,617.47,示例数据（需从官方渠道获取实际数据）
2026-04-15,779.07,656.86,577.59,545.21,864.84,811.76,693.35,示例数据（需从官方渠道获取实际数据）
2026-04-16,778.54,642.22,674.1,627.95,869.5,845.23,660.46,示例数据（需从官方渠道获取实际数据）
2026-04-17,840.97,732.99,622.34,646.73,914.74,783.77,737.76,示例数据（需从官方渠道获取实际数据）
2026-04-18,815.45,614.87,665.15,558.74,919.11,720.44,681.53,示例数据（需从官方渠道获取实际数据）
2026-04-19,724.04,617.54,620.75,568.0,920.35,722.71,677.75,示例数据（需从官方渠道获取实际数据）
2026-04-20,797.98,641.58,600.4,620.28,892.35,712.06,730.39,示例数据（需从官方渠道获取实际数据）
2026-04-21,712.51,721.86,699.8,516.06,863.26,811.02,641.77,示例数据（需从官方渠道获取实际数据）
2026-04-22,817.78,662.59,657.27,554.97,910.12,818.41,686.48,示例数据（需从官方渠道获取实际数据）
2026-04-23,810.5,610.12,601.14,611.12,828.56,798.54,699.47,示例数据（需从官方渠道获取实际数据）
2026-04-24,766.92,636.98,650.4,629.8,856.71,721.84,672.41,示例数据（需从官方渠道获取实际数据）
2026-04-25,723.08,642.03,636.61,558.65,803.96,830.49,637.82,示例数据（需从官方渠道获取实际数据）
2026-04-26,814.38,610.46,688.26,531.07,903.11,809.47,721.27,示例数据（需从官方渠道获取实际数据）
2026-04-27,806.32,701.23,628.81,527.51,931.79,836.76,741.67,示例数据（需从官方渠道获取实际数据）
2026-04-28,826.8,655.73,590.01,620.94,811.25,751.86,732.69,示例数据（需从官方渠道获取实际数据）
2026-04-29,790.83,642.26,614.41,591.68,852.74,746.69,664.85,示例数据（需从官方渠道获取实际数据）
2026-04-30,705.91,732.78,646.39,567.19,857.12,790.26,697.29,示例数据（需从官方渠道获取实际数据）
2026-05-01,737.08,628.71,635.19,645.22,906.55,709.96,664.04,示例数据（需从官方渠道获取实际数据）
2026-05-02,760.14,690.5,665.26,532.49,815.53,789.84,667.93,示例数据（需从官方渠道获取实际数据）
2026-05-03,778.0,645.59,590.71,636.86,881.02,787.24,679.01,示例数据（需从官方渠道获取实际数据）
2026-05-04,757.45,616.5,651.11,531.81,877.03,744.58,621.4,示例数据（需从官方渠道获取实际数据）
2026-05-05,841.01,720.27,660.55,514.41,854.07,807.28,658.0,示例数据（需从官方渠道获取实际数据）
2026-05-06,822.3,744.59,632.36,510.6,887.36,819.13,725.69,示例数据（需从官方渠道获取实际数据）
2026-05-07,728.91,655.81,678.12,644.69,899.27,719.86,702.12,示例数据（需从官方渠道获取实际数据）
2026-05-08,792.68,730.0,661.71,631.9,929.38,816.6,735.08,示例数据（需从官方渠道获取实际数据）
2026-05-09,782.39,690.56,596.51,574.96,843.79,805.65,685.61,示例数据（需从官方渠道获取实际数据）
2026-05-10,842.97,675.14,564.72,614.13,916.1,736.0,694.47,示例数据（需从官方渠道获取实际数据）
2026-05-11,778.27,605.36,648.58,541.15,949.15,790.95,736.2,示例数据（需从官方渠道获取实际数据）
2026-05-12,769.37,698.08,564.34,609.66,895.93,755.59,635.06,示例数据（需从官方渠道获取实际数据）
2026-05-13,758.14,659.06,555.11,511.05,931.67,768.5,693.43,示例数据（需从官方渠道获取实际数据）
2026-05-14,745.57,619.24,557.22,636.06,804.19,837.5,678.62,示例数据（需从官方渠道获取实际数据）
2026-05-15,782.28,731.97,672.39,636.58,948.64,777.19,638.06,示例数据（需从官方渠道获取实际数据）
2026-05-16,765.12,658.86,654.96,529.07,948.37,797.23,674.5,示例数据（需从官方渠道获取实际数据）
2026-05-17,740.61,602.05,560.86,605.86,915.59,800.75,673.46,示例数据（需从官方渠道获取实际数据）
2026-05-18,816.64,739.36,635.25,521.0,887.26,848.48,728.34,示例数据（需从官方渠道获取实际数据）
2026-05-19,803.01,643.71,608.2,637.82,826.09,704.7,605.81,示例数据（需从官方渠道获取实际数据）
2026-05-20,777.73,652.05,638.97,500.37,810.93,771.8,711.3,示例数据（需从官方渠道获取实际数据）
2026-05-21,802.18,657.71,575.81,628.87,902.55,818.43,649.98,示例数据（需从官方渠道获取实际数据）
2026-05-22,820.49,728.29,551.69,623.62,878.06,803.81,673.22,示例数据（需从官方渠道获取实际数据）
2026-05-23,806.41,619.34,668.9,617.96,844.49,766.51,653.71,示例数据（需从官方渠道获取实际数据）
2026-05-24,761.94,709.0,601.23,561.01,834.15,832.63,733.79,示例数据（需从官方渠道获取实际数据）
2026-05-25,706.56,688.19,562.01,557.15,841.81,706.84,734.83,示例数据（需从官方渠道获取实际数据）
2026-05-26,750.81,722.0,602.33,632.89,913.96,800.88,648.42,示例数据（需从官方渠道获取实际数据）
2026-05-27,804.36,618.7,626.48,529.25,871.42,818.09,736.05,示例数据（需从官方渠道获取实际数据）
2026-05-28,768.19,676.88,679.04,573.92,910.5,770.17,743.42,示例数据（需从官方渠道获取实际数据）
2026-05-29,763.82,604.51,635.95,585.65,909.12,750.32,636.43,示例数据（需从官方渠道获取实际数据）
2026-05-30,819.76,746.96,655.79,621.9,812.39,733.24,660.84,示例数据（需从官方渠道获取实际数据）
2026-05-31,793.25,711.24,674.6,601.95,914.47,835.93,694.01,示例数据（需从官方渠道获取实际数据）
2026-06-01,801.18,603.16,621.42,528.88,935.17,715.87,719.08,示例数据（需从官方渠道获取实际数据）
2026-06-02,726.01,637.69,638.13,512.95,880.14,760.99,661.92,示例数据（需从官方渠道获取实际数据）
